id_aluno,ano_referencia,regiao,uf,zona,porte_municipio,populacao_municipio,sexo,idade_meses,renda_per_capita,idh_municipio,taxa_pobreza,beneficiario_bolsa_familia,inse_escola,infraestrutura_escola,professores_formacao_adequada_pct,razao_aluno_professor,taxa_frequencia_creche_pre,meta_estadual_alfabetizacao,municipio_atingiu_meta_anterior,frequencia_escolar_pct,alfabetizado
4913,2022,Sudeste,RJ,Urbana,Grande,3257772,F,104,854.03,0.731,13.21,1,2.76,4.69,64.02,14.74,61.24,72.57,0,84.62,0
4914,2024,Centro-Oeste,MT,Urbana,Pequeno,13428,F,98,924.93,0.725,39.8,1,7.03,6.2,43.33,28.09,45.65,74.16,1,90.03,0
4915,2022,Centro-Oeste,GO,Urbana,Pequeno,2375,M,89,1119.14,0.65,17.24,1,4.03,6.83,63.98,18.4,47.66,76.36,0,90.49,1
4916,2022,Sudeste,ES,Urbana,Pequeno,7465,M,86,1080.09,0.736,2.17,0,6.4,8.5,36.44,14.62,74.47,72.43,1,86.77,1
4917,2024,Centro-Oeste,GO,Urbana,Grande,6611111,F,90,699.29,0.577,29.62,1,7.11,6.13,70.63,18.05,92.97,59.3,0,95.13,1
4918,2024,Sudeste,SP,Urbana,Grande,9494421,M,105,1433.78,0.701,19.78,1,5.01,7.37,47.32,15.77,82.49,68.27,0,80.27,0
4919,2023,Nordeste,SE,Urbana,Pequeno,8920,M,87,457.05,0.688,25.33,1,6.24,5.35,66.04,24.6,66.38,68.34,0,88.36,0
4920,2022,Nordeste,PE,Urbana,Médio,24530,F,102,1069.65,0.681,25.66,1,1.87,6.47,59.99,22.69,97.6,71.74,1,80.32,0
4921,2024,Nordeste,CE,Urbana,Pequeno,5884,F,102,736.11,0.629,29.98,0,4.96,5.56,63.23,26.93,59.09,70.1,1,84.81,1
4922,2023,Sul,PR,Urbana,Pequeno,17864,F,92,966.78,0.671,26.67,0,6.08,3.31,61.51,17.6,65.45,66.13,0,90.27,1
4923,2022,Sudeste,ES,Urbana,Grande,753395,M,94,972.03,0.71,7.75,0,5.31,3.37,98.42,20.77,70.53,63.88,0,73.03,0
4924,2023,Centro-Oeste,GO,Rural,Pequeno,11040,M,90,912.62,0.651,21.48,0,2.37,7.55,74.95,27.11,18.31,74.47,1,94.56,0
4925,2023,Sudeste,MG,Urbana,Grande,3193891,F,89,1098.82,0.652,9.55,0,5.55,5.78,74.12,17.13,63.08,71.58,1,78.79,1
4926,2022,Sudeste,ES,Rural,Médio,182608,F,98,1078.1,0.653,20.91,0,3.85,4.91,55.56,22.7,58.08,72.13,1,85.88,0
4927,2023,Sudeste,RJ,Urbana,Médio,135951,M,97,1046.55,0.717,34.49,1,6.23,6.06,85.11,25.24,82.96,75.65,1,,1
4928,2022,Sudeste,SP,Rural,Pequeno,18653,M,90,1061.23,0.8,24.08,0,6.68,7.65,60.95,27.32,51.75,70.13,0,83.56,1
4929,2023,Nordeste,CE,Urbana,Pequeno,3312,F,103,817.26,0.758,36.23,0,5.66,5.62,45.69,32.13,67.25,55.68,0,94.11,0
4930,2022,Nordeste,PI,Urbana,Pequeno,14350,M,96,807.16,0.782,18.42,0,5.6,5.92,68.92,27.32,32.71,66.44,1,89.69,0
4931,2024,Sudeste,ES,Urbana,Médio,101966,F,99,1267.39,0.723,27.54,0,3.96,5.6,58.03,22.99,66.85,80.01,0,91.29,0
4932,2023,Norte,RR,Urbana,Pequeno,12368,F,96,841.65,0.664,24.72,0,5.63,6.34,77.41,23.61,30.54,69.28,1,72.48,0
4933,2024,Sudeste,RJ,Urbana,Pequeno,4844,F,95,1402.87,0.787,27.15,1,5.51,6.55,69.43,17.02,28.7,63.63,1,92.82,1
4934,2023,Nordeste,PI,Urbana,Pequeno,3431,M,86,938.7,0.761,22.99,1,6.75,7.7,56.35,27.49,60.65,62.54,1,87.79,1
4935,2023,Nordeste,AL,Urbana,Pequeno,14230,M,104,,0.638,27.95,1,4.79,4.52,45.56,14.93,57.68,68.21,1,91.14,0
4936,2023,Norte,AP,Urbana,Pequeno,7039,M,91,654.8,0.733,46.33,1,6.67,5.41,52.58,18.54,80.34,71.17,0,83.66,1
4937,2022,Norte,PA,Urbana,Médio,57712,M,106,654.56,0.485,44.56,0,7.07,5.56,85.38,28.88,71.44,69.88,1,76.19,0
4938,2024,Sudeste,ES,Rural,Grande,10367703,M,104,,0.704,16.77,0,5.14,4.01,75.08,14.34,54.52,69.63,0,84.49,1
4939,2023,Nordeste,RN,Urbana,Pequeno,10215,F,94,914.33,0.756,36.43,1,6.11,4.07,72.81,21.49,43.41,64.61,0,94.95,0
4940,2023,Sul,SC,Urbana,Pequeno,10376,M,86,916.51,0.746,20.09,1,6.08,6.35,77.67,19.23,47.68,75.83,1,81.78,0
4941,2023,Sudeste,RJ,Urbana,Médio,61271,F,87,886.93,0.678,10.77,0,6.23,5.62,69.27,25.27,79.15,69.08,1,94.1,0
4942,2024,Sudeste,ES,Rural,Médio,36730,F,103,997.99,0.646,16.76,1,4.83,9.32,66.12,18.52,100.0,78.38,0,71.9,0
4943,2022,Sudeste,ES,Urbana,Grande,6180904,M,106,1044.0,0.691,11.68,1,3.69,6.8,85.58,25.95,63.75,71.73,0,94.48,0
4944,2024,Sudeste,MG,Urbana,Pequeno,14282,F,103,1290.58,0.769,16.7,0,5.03,7.38,79.43,17.34,62.23,78.38,0,100.0,0
4945,2022,Sudeste,SP,Urbana,Pequeno,16037,F,89,975.91,0.627,14.4,0,3.59,6.72,95.49,27.99,65.09,74.36,1,89.84,0
4946,2022,Norte,TO,Urbana,Médio,150965,M,101,1401.88,0.594,22.08,1,6.13,5.17,60.19,30.03,8.36,69.79,0,82.67,1
4947,2024,Sul,SC,Urbana,Pequeno,2179,F,89,1388.21,0.698,17.63,0,6.17,6.79,83.38,17.56,78.72,68.57,1,96.43,1
4948,2023,Nordeste,PB,Urbana,Pequeno,6944,F,86,521.48,0.654,33.28,1,4.3,4.76,50.1,24.07,39.69,78.88,0,81.61,1
4949,2023,Sudeste,RJ,Rural,Pequeno,5806,M,92,709.08,0.68,23.12,0,6.35,4.39,70.89,18.11,76.07,76.28,1,85.15,0
4950,2023,Nordeste,AL,Urbana,Grande,9195291,M,98,853.72,0.687,19.8,0,3.87,6.74,32.38,24.34,32.05,66.2,1,88.6,0
4951,2024,Sudeste,SP,Urbana,Pequeno,2316,F,99,579.19,0.709,16.86,0,6.78,9.22,55.98,26.15,59.07,78.06,0,84.03,0
4952,2024,Norte,TO,Urbana,Grande,2024741,M,105,911.27,0.596,34.34,0,6.55,4.0,48.74,28.57,45.22,75.04,0,84.76,0
4953,2024,Nordeste,RN,Urbana,Pequeno,12483,F,102,588.05,0.595,41.79,1,6.13,5.39,44.97,19.79,51.93,65.36,0,87.43,0
4954,2022,Nordeste,AL,Urbana,Pequeno,15315,F,92,574.45,0.694,15.11,0,3.61,6.43,57.39,24.44,66.82,64.42,1,85.19,0
4955,2024,Sudeste,SP,Urbana,Pequeno,6100,F,103,971.4,0.623,29.25,1,3.34,7.27,81.54,23.0,66.86,71.62,1,84.95,1
4956,2024,Sudeste,ES,Urbana,Pequeno,18926,F,92,1258.13,0.733,26.72,1,5.11,7.84,71.52,16.17,86.61,67.08,0,74.87,0
4957,2024,Nordeste,AL,Urbana,Médio,81142,F,90,,0.55,20.92,1,5.4,2.64,59.26,25.64,43.14,70.07,0,81.66,0
4958,2023,Sul,PR,Rural,Médio,93847,M,96,909.12,0.697,35.54,0,3.96,6.62,52.81,15.72,100.0,71.93,0,96.04,0
4959,2022,Sudeste,ES,Urbana,Médio,91388,F,91,430.22,0.764,21.23,0,5.23,6.81,81.62,24.61,84.94,81.06,1,89.77,0
4960,2022,Sudeste,ES,Urbana,Pequeno,14244,M,103,1275.8,0.736,24.83,1,3.92,7.74,76.56,15.04,68.84,74.7,1,85.94,0
4961,2023,Sudeste,RJ,Urbana,Médio,192302,M,97,1016.33,0.694,26.49,0,4.74,5.96,79.97,17.53,79.18,63.24,1,89.97,1
4962,2023,Centro-Oeste,DF,Rural,Pequeno,7448,F,96,924.46,0.614,6.24,0,5.91,7.2,71.99,17.83,30.87,72.51,1,100.0,1
4963,2023,Nordeste,RN,Urbana,Pequeno,15872,M,99,792.44,0.634,35.52,0,3.97,7.82,84.72,21.12,59.29,66.46,0,78.82,0
4964,2024,Centro-Oeste,DF,Urbana,Pequeno,12049,F,97,735.91,0.644,29.06,0,4.66,5.34,68.08,22.44,56.24,73.27,1,100.0,0
4965,2024,Nordeste,AL,Urbana,Pequeno,4624,M,105,746.17,0.711,24.1,0,5.89,5.34,49.39,29.8,55.72,66.74,1,96.77,0
4966,2022,Centro-Oeste,MS,Rural,Médio,125133,F,84,1022.53,0.672,13.7,0,5.76,6.09,46.82,29.95,73.99,74.11,0,84.36,1
4967,2022,Sul,PR,Urbana,Médio,93720,M,92,973.04,0.739,10.79,0,4.86,6.46,78.33,27.53,57.72,68.26,1,94.4,0
4968,2023,Sudeste,RJ,Urbana,Pequeno,18425,M,84,937.89,0.806,25.72,0,7.17,5.27,71.86,21.51,79.87,75.71,1,83.7,1
4969,2022,Sudeste,MG,Urbana,Pequeno,3516,M,88,1056.84,0.595,26.93,0,5.49,7.82,61.78,24.2,71.8,74.53,0,87.43,0
4970,2024,Norte,AC,Urbana,Pequeno,11919,F,93,616.02,0.6,31.96,0,3.64,6.66,70.95,28.11,86.14,65.19,0,85.08,0
4971,2024,Sudeste,ES,Urbana,Pequeno,17098,F,92,1251.42,0.724,20.15,1,,2.29,68.82,15.14,96.1,80.62,0,80.05,0
4972,2022,Nordeste,CE,Urbana,Médio,69873,M,94,1115.41,0.612,26.17,0,2.97,4.93,84.46,22.89,36.29,66.53,1,74.31,0
4973,2022,Norte,AM,Urbana,Pequeno,15985,M,92,750.58,0.72,43.05,0,3.64,4.4,75.95,26.26,69.65,57.96,1,88.62,0
4974,2024,Sudeste,SP,Rural,Médio,76441,F,99,555.97,0.737,34.24,1,4.53,5.44,70.69,21.77,63.09,73.03,1,72.99,0
4975,2024,Nordeste,MA,Urbana,Grande,331974,F,94,1108.3,0.651,40.12,0,3.3,3.76,56.44,20.74,35.56,72.68,0,84.26,1
4976,2023,Sudeste,MG,Urbana,Pequeno,5147,M,101,1203.03,0.655,14.67,0,,7.76,72.87,23.61,91.77,76.25,0,100.0,0
4977,2022,Sul,RS,Rural,Médio,153050,F,88,1159.56,0.798,10.08,1,4.35,6.97,90.69,21.34,76.33,69.71,1,87.23,0
4978,2024,Sul,PR,Rural,Pequeno,17811,M,89,1170.56,0.622,23.0,1,6.34,5.23,62.13,24.75,74.37,74.79,0,,0
4979,2023,Sudeste,ES,Urbana,Médio,63042,F,92,1145.15,0.724,20.39,0,6.5,8.85,51.54,27.22,76.98,77.86,1,91.98,0
4980,2023,Norte,AP,Urbana,Pequeno,11966,M,86,842.9,0.724,32.07,0,3.29,5.7,55.02,25.27,64.88,72.48,1,88.64,0
4981,2024,Sudeste,SP,Urbana,Médio,70224,M,93,492.95,0.703,28.1,0,4.52,7.06,61.93,16.19,47.62,66.8,0,92.08,1
4982,2023,Sudeste,RJ,Urbana,Pequeno,3928,M,93,524.86,0.723,26.48,0,3.65,8.76,62.16,18.95,48.66,67.79,0,79.66,1
4983,2022,Nordeste,BA,Urbana,Pequeno,14222,F,87,516.48,0.704,31.46,0,3.64,6.95,38.29,26.5,39.56,66.69,0,89.27,0
4984,2022,Centro-Oeste,DF,Urbana,Pequeno,13751,M,89,1047.79,0.676,21.11,0,5.24,5.99,87.12,20.16,79.35,67.88,1,100.0,0
4985,2023,Sudeste,ES,Urbana,Grande,6372736,M,91,880.74,0.735,23.24,1,4.78,7.29,63.5,15.72,40.37,65.42,1,86.59,1
4986,2024,Nordeste,AL,Rural,Pequeno,13408,M,92,904.57,0.613,25.33,1,4.26,6.73,58.58,28.91,36.98,58.89,1,88.7,0
4987,2023,Sudeste,MG,Urbana,Pequeno,16456,F,89,1144.35,0.64,36.91,1,7.01,6.91,74.5,22.22,31.65,66.17,1,81.41,0
4988,2023,Norte,RO,Rural,Pequeno,2103,F,105,1159.86,0.662,24.52,1,4.95,5.84,71.97,19.91,41.31,58.69,0,82.25,1
4989,2024,Sudeste,SP,Urbana,Pequeno,7027,F,97,820.17,0.787,25.12,1,4.35,9.67,73.93,17.88,59.55,70.05,0,87.07,1
4990,2022,Nordeste,RN,Urbana,Grande,1415437,M,100,579.91,0.774,29.69,1,3.82,5.94,58.51,27.11,34.99,63.35,1,90.87,0
4991,2022,Sudeste,RJ,Urbana,Médio,63865,M,102,675.59,0.727,18.53,0,7.19,5.49,54.71,23.18,88.71,66.76,1,100.0,1
4992,2022,Sul,SC,Urbana,Pequeno,12573,F,91,945.34,0.731,6.81,0,4.88,6.4,71.06,23.36,28.33,71.38,1,86.55,1
4993,2023,Sul,PR,Urbana,Pequeno,8499,M,88,604.43,0.862,27.61,0,5.31,6.83,79.34,16.23,71.29,72.42,1,88.51,0
4994,2023,Norte,AC,Urbana,Grande,8791221,M,96,616.32,0.668,30.69,1,4.21,6.59,47.94,24.94,68.8,73.59,1,98.56,0
4995,2023,Sudeste,ES,Urbana,Médio,92907,F,96,1152.21,0.642,10.99,0,4.14,4.48,73.13,20.48,40.03,75.56,1,81.58,1
4996,2023,Sul,PR,Urbana,Médio,136592,M,104,990.33,0.717,12.43,1,6.14,6.73,77.28,21.96,52.71,71.9,1,80.95,1
4997,2024,Sul,PR,Rural,Pequeno,10846,F,101,,0.712,26.76,0,,9.79,89.36,21.74,52.56,67.01,0,85.27,1
4998,2023,Norte,RR,Urbana,Médio,94315,M,102,817.22,0.678,29.82,0,3.36,6.16,73.51,26.15,42.76,73.71,0,74.6,0
4999,2023,Nordeste,MA,Urbana,Pequeno,3285,M,100,1134.83,0.654,22.5,1,5.3,4.78,61.11,22.35,76.62,75.09,1,84.59,1
5000,2024,Nordeste,SE,Urbana,Médio,107032,M,95,829.6,0.802,32.76,0,4.05,5.26,75.97,26.84,28.89,69.9,1,82.9,0
5001,2023,Nordeste,AL,Rural,Médio,59927,M,103,1186.79,0.656,51.34,0,5.17,7.78,53.37,22.8,39.85,69.17,1,93.49,0
5002,2024,Sudeste,RJ,Urbana,Médio,78445,M,94,1375.41,0.666,12.38,0,5.51,5.51,76.64,25.77,96.05,64.04,1,79.6,1
5003,2022,Sudeste,RJ,Urbana,Médio,62223,M,99,1162.4,0.739,12.05,0,,7.62,74.59,17.92,56.59,60.0,0,92.76,1
5004,2023,Nordeste,RN,Urbana,Médio,190701,F,84,333.78,0.649,39.79,1,5.0,6.73,80.73,23.72,47.53,72.81,1,85.54,0
5005,2022,Nordeste,PE,Urbana,Médio,105895,F,96,,0.678,41.85,0,5.45,4.56,73.22,23.14,62.85,61.66,1,86.01,1
5006,2022,Sudeste,SP,Rural,Pequeno,8593,F,92,596.21,0.711,28.94,0,6.89,7.3,57.45,16.28,52.76,69.17,0,84.89,1
5007,2022,Sul,SC,Urbana,Médio,61316,M,98,827.85,0.75,29.49,0,6.02,5.5,63.36,24.03,76.78,75.61,1,88.22,0
5008,2023,Sudeste,ES,Urbana,Grande,8306933,F,100,709.88,0.656,23.3,0,6.55,7.44,83.58,23.07,66.03,67.41,0,77.46,0
5009,2024,Sul,PR,Urbana,Pequeno,19922,M,102,1019.47,0.599,7.33,1,5.31,6.54,77.43,18.71,63.49,73.92,1,94.78,1
5010,2024,Centro-Oeste,GO,Urbana,Médio,127708,F,97,779.36,0.621,21.78,1,4.08,3.39,92.34,16.81,64.54,72.13,1,,0
5011,2024,Nordeste,CE,Rural,Pequeno,13416,F,97,977.65,0.777,19.91,0,2.93,8.29,66.67,21.84,65.95,73.06,0,85.85,0
5012,2023,Sudeste,SP,Rural,Pequeno,19475,M,96,852.09,0.727,27.04,0,6.93,4.29,76.0,20.3,61.35,71.03,1,89.55,0
5013,2023,Sudeste,MG,Rural,Médio,170033,M,105,1330.39,0.607,30.96,0,4.13,7.54,59.25,20.04,46.22,74.17,0,80.93,0
5014,2022,Sul,SC,Urbana,Médio,124539,F,89,1168.7,0.818,17.31,0,5.67,6.94,58.97,21.81,56.17,65.79,1,,0
5015,2023,Sudeste,RJ,Urbana,Médio,182738,M,92,1097.04,0.608,8.83,0,5.04,7.38,94.96,13.76,87.87,75.26,1,89.51,0
5016,2024,Sudeste,MG,Urbana,Grande,1194551,M,95,886.83,0.69,20.58,0,4.19,7.75,67.79,21.08,35.38,66.21,0,80.95,0
5017,2023,Nordeste,PE,Urbana,Pequeno,19025,F,89,778.3,0.612,17.96,1,5.65,8.75,85.91,24.41,53.61,62.95,0,93.68,1
5018,2023,Sul,RS,Urbana,Grande,775692,M,94,1051.14,0.698,32.19,1,6.66,4.53,54.38,21.5,77.71,72.73,0,85.31,0
5019,2022,Sul,SC,Rural,Médio,181118,F,87,1152.93,0.677,26.59,0,2.02,5.1,72.98,19.41,33.49,71.75,1,85.04,0
5020,2022,Sudeste,MG,Urbana,Médio,156818,F,96,1020.53,0.759,20.12,1,5.7,6.67,67.41,22.18,83.46,67.94,0,83.53,1
5021,2023,Nordeste,SE,Urbana,Grande,8097083,F,96,692.62,0.705,32.81,0,6.35,7.98,66.0,18.1,45.59,67.3,0,98.72,0
5022,2024,Sudeste,RJ,Urbana,Grande,11606567,M,99,1187.17,0.605,9.76,0,4.0,6.1,99.77,27.87,73.72,68.5,1,94.62,0
5023,2024,Nordeste,AL,Urbana,Médio,103288,F,107,1156.05,0.646,30.74,0,4.33,6.65,81.26,22.01,52.06,68.33,0,89.19,0
5024,2023,Sudeste,SP,Urbana,Pequeno,10876,M,95,1227.16,0.74,29.9,0,5.6,6.37,45.08,24.36,58.13,72.05,1,100.0,0
5025,2022,Nordeste,SE,Urbana,Pequeno,13705,F,98,969.9,0.704,38.39,1,5.75,5.66,39.99,20.69,51.56,67.24,1,92.08,0
5026,2023,Sudeste,MG,Urbana,Pequeno,4023,F,92,1099.03,0.789,24.43,1,5.96,6.14,89.24,22.39,44.01,71.5,1,91.78,1
5027,2024,Norte,RO,Rural,Médio,133656,M,89,524.36,0.594,39.17,1,5.06,4.25,64.3,21.84,62.9,67.77,0,85.38,1
5028,2023,Sudeste,RJ,Urbana,Médio,96711,M,87,,0.745,23.12,0,4.55,6.06,66.36,18.24,52.57,70.66,1,88.29,0
5029,2024,Nordeste,BA,Urbana,Médio,183347,F,98,776.02,0.745,29.93,0,4.13,3.69,71.24,18.82,74.73,63.67,1,75.37,0
5030,2022,Sudeste,ES,Urbana,Pequeno,10309,F,85,1367.09,0.656,11.18,0,4.61,5.66,59.08,21.93,59.5,77.02,0,87.84,1
5031,2023,Centro-Oeste,DF,Urbana,Pequeno,6315,M,107,483.56,0.7,33.32,1,4.95,6.57,66.43,24.1,31.78,63.73,1,100.0,0
5032,2022,Norte,AC,Urbana,Médio,97314,M,90,692.05,0.746,33.08,0,6.01,6.26,29.7,27.87,35.53,68.45,1,78.81,0
5033,2023,Nordeste,AL,Urbana,Grande,4237226,F,107,272.1,0.688,21.68,0,5.09,9.01,45.84,22.87,47.44,58.18,1,87.15,0
5034,2024,Sudeste,RJ,Urbana,Pequeno,13272,M,104,1021.83,0.739,31.79,0,6.45,5.88,79.75,16.58,46.77,79.11,0,99.53,0
5035,2023,Sudeste,RJ,Urbana,Pequeno,6025,M,97,,0.681,22.98,1,4.37,3.11,89.44,22.7,79.0,66.32,0,,0
5036,2024,Sudeste,RJ,Rural,Pequeno,17556,F,85,643.3,0.819,37.62,0,4.94,6.87,80.29,19.07,67.47,73.95,1,100.0,0
5037,2022,Sudeste,RJ,Urbana,Pequeno,2259,M,96,1392.79,0.823,35.94,0,7.0,6.71,65.12,20.29,40.22,71.42,1,82.58,0
5038,2024,Sudeste,SP,Urbana,Médio,129949,M,95,1185.41,0.761,26.49,0,3.36,8.01,56.28,22.91,45.4,67.12,1,70.29,0
5039,2024,Sudeste,MG,Urbana,Médio,192991,M,90,1045.55,0.806,18.91,1,5.8,5.55,69.29,18.92,36.63,53.04,1,80.9,1
5040,2023,Norte,PA,Urbana,Grande,7989830,F,106,747.4,0.672,34.97,0,3.58,8.63,52.43,21.96,75.44,63.01,1,88.21,0
5041,2024,Sudeste,RJ,Urbana,Pequeno,4281,M,106,643.53,0.642,16.73,0,5.2,7.41,78.88,24.21,38.16,72.0,1,88.9,0
5042,2023,Sudeste,ES,Urbana,Médio,138974,F,102,961.56,0.664,25.05,0,4.83,5.74,89.6,17.92,53.61,68.13,1,83.65,1
5043,2022,Nordeste,PB,Urbana,Médio,137728,M,101,881.23,0.724,33.61,0,6.17,5.91,53.89,21.82,78.29,68.36,1,75.66,0
5044,2023,Nordeste,PB,Urbana,Pequeno,2760,F,100,740.85,0.626,27.07,1,2.53,6.0,72.18,29.09,32.47,65.54,1,73.66,1
5045,2023,Sudeste,SP,Urbana,Pequeno,11931,M,103,1327.73,0.669,17.82,0,5.71,6.45,67.81,18.57,51.3,75.67,0,95.25,0
5046,2022,Sul,SC,Urbana,Pequeno,5084,F,86,788.31,0.661,23.51,0,3.15,4.71,98.56,21.53,26.68,74.25,1,93.2,0
5047,2022,Nordeste,BA,Urbana,Pequeno,9266,M,100,316.44,0.741,23.17,0,3.98,8.11,58.11,23.66,40.79,71.99,1,74.32,0
5048,2023,Nordeste,SE,Urbana,Médio,147347,M,89,779.26,0.814,34.62,1,4.95,4.74,52.51,27.29,46.78,69.91,1,91.94,1
5049,2024,Sul,SC,Urbana,Pequeno,15230,M,85,593.24,0.725,29.2,1,5.34,7.39,81.64,23.27,82.59,74.24,0,100.0,1
5050,2024,Sudeste,RJ,Urbana,Pequeno,13922,F,84,901.18,0.8,14.85,1,5.88,10.0,70.35,25.34,56.95,64.98,0,100.0,1
5051,2022,Centro-Oeste,DF,Urbana,Pequeno,10149,M,99,1436.2,0.728,33.05,1,6.09,5.46,80.2,21.48,58.93,70.33,1,97.44,0
5052,2023,Sul,SC,Urbana,Pequeno,13494,F,92,1038.13,0.724,25.21,1,6.03,8.01,63.78,18.69,36.53,73.86,0,89.15,1
5053,2024,Nordeste,PB,Rural,Pequeno,12865,M,99,452.44,0.476,40.43,1,5.42,4.32,65.87,16.15,50.2,72.8,1,75.84,0
5054,2024,Sudeste,MG,Rural,Pequeno,3077,M,93,1141.23,0.701,25.98,1,6.83,7.37,68.17,19.42,55.47,66.86,0,90.95,1
5055,2022,Nordeste,AL,Urbana,Médio,81086,F,93,582.54,0.713,31.47,0,4.62,6.85,59.84,23.78,66.01,77.67,1,,0
5056,2023,Sudeste,MG,Urbana,Grande,3561922,F,93,953.39,0.679,25.18,0,3.92,8.0,77.83,23.34,60.03,74.25,1,,0
5057,2024,Nordeste,SE,Urbana,Médio,129680,M,98,447.77,0.687,41.76,0,,4.63,99.35,22.29,38.26,60.28,0,72.79,1
5058,2023,Sudeste,ES,Urbana,Médio,179054,M,84,,0.775,18.79,0,4.69,6.43,78.89,26.36,43.4,69.43,1,94.28,1
5059,2022,Sudeste,ES,Urbana,Pequeno,8727,M,93,1322.81,0.676,28.07,1,5.49,6.77,70.67,18.14,77.59,73.04,0,84.31,1
5060,2023,Norte,PA,Urbana,Pequeno,12878,F,85,1119.49,0.593,44.09,0,6.44,5.73,78.17,18.19,24.17,74.95,1,100.0,0
5061,2024,Norte,AM,Rural,Grande,10915840,F,93,766.71,0.663,19.59,1,3.71,7.02,63.87,26.38,87.26,67.47,1,88.8,1
5062,2024,Sudeste,MG,Urbana,Pequeno,6341,F,98,808.89,0.751,16.38,0,4.87,7.21,62.24,23.34,70.41,72.47,0,98.28,1
5063,2023,Nordeste,BA,Rural,Médio,101143,F,89,611.31,0.687,26.7,0,5.05,3.13,59.67,21.27,58.3,61.57,0,96.19,1
5064,2024,Sudeste,RJ,Urbana,Grande,4823911,M,106,968.25,0.694,23.0,0,4.75,6.89,54.55,25.34,86.43,67.22,1,91.0,0
5065,2022,Nordeste,PB,Rural,Médio,88871,M,107,251.47,0.603,23.18,1,4.38,5.54,49.91,22.1,66.65,73.54,0,74.85,0
5066,2024,Sudeste,ES,Urbana,Pequeno,4879,M,100,823.0,0.772,8.15,0,4.9,9.99,49.56,17.15,79.72,67.45,1,83.31,0
5067,2024,Nordeste,PB,Urbana,Pequeno,9540,M,87,630.06,0.745,31.67,1,5.2,3.54,72.28,27.93,58.38,79.25,0,84.39,0
5068,2023,Sudeste,ES,Urbana,Pequeno,15636,F,106,914.61,0.641,18.05,0,5.38,3.43,95.16,15.05,86.27,71.03,1,94.46,0
5069,2023,Centro-Oeste,MT,Rural,Médio,21615,M,107,784.15,0.643,37.97,0,5.43,4.29,77.24,20.56,62.31,68.15,1,90.4,1
5070,2024,Sudeste,RJ,Urbana,Grande,3195952,F,103,,0.716,10.23,1,5.4,6.11,79.04,16.95,68.6,71.05,0,96.08,0
5071,2022,Sudeste,ES,Urbana,Médio,197208,F,101,1104.63,0.804,11.79,0,8.54,2.87,72.43,26.16,88.72,73.0,0,85.43,0
5072,2022,Centro-Oeste,MT,Rural,Grande,9445308,F,95,790.86,0.747,40.4,0,6.31,3.97,55.75,18.44,63.2,79.84,1,98.04,1
5073,2022,Sudeste,ES,Urbana,Pequeno,8726,M,91,1255.39,0.738,20.15,0,6.17,5.45,76.44,15.86,51.34,72.76,1,94.39,1
5074,2023,Nordeste,MA,Rural,Pequeno,17933,F,89,327.8,0.71,16.4,0,7.57,3.25,66.38,18.37,44.86,63.49,1,86.93,0
5075,2023,Nordeste,PI,Rural,Pequeno,11168,M,92,601.62,0.615,22.2,0,5.31,6.99,69.52,26.99,34.73,73.78,1,77.42,0
5076,2023,Nordeste,AL,Urbana,Pequeno,14637,F,101,913.86,0.583,29.19,0,3.22,6.06,52.89,31.71,36.66,56.57,1,88.08,0
5077,2024,Sudeste,ES,Urbana,Médio,85453,M,95,1259.83,0.597,13.68,0,4.75,8.61,48.88,10.0,85.41,64.07,1,99.25,1
5078,2024,Norte,PA,Urbana,Médio,119745,F,93,1153.86,0.689,30.33,1,2.12,4.67,50.15,21.63,38.85,61.13,1,100.0,0
5079,2022,Centro-Oeste,MT,Urbana,Médio,128752,F,98,1398.4,0.659,8.78,1,4.72,6.0,79.79,25.15,45.89,70.75,0,95.33,1
5080,2023,Sudeste,ES,Urbana,Pequeno,9784,M,96,,0.706,28.13,0,4.59,5.66,70.09,23.21,35.54,68.79,1,85.99,0
5081,2023,Sudeste,SP,Urbana,Médio,83046,F,99,1343.21,0.647,22.66,0,4.9,8.21,67.96,22.4,96.01,75.07,0,97.85,0
5082,2024,Norte,AC,Rural,Médio,145707,M,99,506.14,0.681,25.7,1,6.27,8.08,49.13,21.61,73.74,76.73,1,88.16,1
5083,2023,Nordeste,PE,Urbana,Médio,122164,F,100,1497.85,0.638,45.88,0,4.58,6.72,26.64,20.42,95.8,75.98,1,74.74,1
5084,2024,Sudeste,SP,Urbana,Médio,171159,M,87,839.19,0.751,18.62,0,4.59,7.83,35.96,31.68,78.26,73.34,0,88.91,1
5085,2022,Sudeste,MG,Urbana,Pequeno,11401,M,103,1166.49,0.666,6.73,0,6.4,7.14,85.97,19.84,72.68,81.95,1,86.39,0
5086,2022,Sul,PR,Urbana,Grande,3393337,M,87,1055.45,0.69,21.06,1,6.68,5.26,53.72,22.27,47.49,78.4,0,88.74,0
5087,2023,Sul,PR,Urbana,Médio,158577,F,92,994.41,0.772,31.5,1,6.83,6.6,76.82,25.34,60.32,72.04,0,74.11,1
5088,2023,Nordeste,PE,Urbana,Pequeno,8560,F,101,740.27,0.576,32.54,0,5.1,5.93,58.43,12.72,17.12,63.99,0,87.98,0
5089,2024,Sudeste,RJ,Urbana,Pequeno,14289,F,93,1213.31,0.754,11.19,0,4.86,8.35,87.68,22.7,72.3,72.06,0,84.49,1
