id_aluno,ano,id_municipio,id_uf,rede,caderno,ctx_taxa_municipio,ctx_media_municipio,ctx_meta_municipio,ctx_distancia_meta_municipio,ctx_atingiu_meta_municipio,ctx_participacao_municipio,ctx_categoria_municipio,ctx_faixa_participacao_municipio,proficiencia,gap_proficiencia,label_alfabetizado,ctx_atlas_idhm,ctx_atlas_idhm_educacao,ctx_atlas_idhm_renda,ctx_atlas_idhm_longevidade,ctx_atlas_taxa_analfabetismo_15mais,ctx_atlas_taxa_frequencia_6a14,ctx_atlas_expectativa_anos_estudo,ctx_atlas_taxa_fundamental_incompleto,ctx_atlas_renda_per_capita,ctx_atlas_indice_gini,ctx_atlas_percentual_pobres,ctx_atlas_percentual_extremamente_pobres,ctx_atlas_percentual_vulneraveis_pobreza,ctx_atlas_percentual_domicilios_agua,ctx_atlas_percentual_domicilios_energia,ctx_atlas_taxa_densidade_domiciliar,ctx_nse_municipio,ctx_ponderador_nse_municipio,ctx_nse_municipio_proxy_2023,ctx_nse_uf,ctx_ponderador_nse_uf,ctx_nse_uf_proxy_2023
183,2024,2503902,25,Privada,A,72.36,605.3,88.06,8.48,False,86.04,Muito abaixo,Baixa,617.32,70.34,0,0.567,0.431,0.549,0.77,29.73,96.87,8.0,53.15,242.92,0.46,39.77,22.0,68.25,57.78,99.52,20.44,36.43,1.02,False,46.72,0.99,False
184,2025,3528007,35,Municipal,A,57.44,735.98,74.03,6.87,True,99.81,Muito abaixo,Alta,569.09,-51.66,1,0.77,0.697,0.763,0.859,8.38,99.28,10.88,19.21,920.95,0.55,2.69,0.74,13.06,99.23,99.83,24.63,64.9,0.97,False,42.41,1.01,False
185,2024,3516804,35,Municipal,A,41.98,790.36,65.9,9.56,True,98.76,Próximo,Média,610.86,23.73,0,0.723,0.635,0.727,0.817,9.57,96.55,10.31,26.13,736.47,0.42,2.39,1.23,15.12,95.77,100.0,27.75,39.9,1.0,False,57.99,1.01,False
186,2024,2615409,26,Municipal,B,63.01,702.99,71.32,4.9,False,71.21,Próximo,Baixa,878.93,85.33,1,0.618,0.452,0.655,0.797,20.6,91.53,7.91,49.51,470.44,0.43,9.84,2.71,34.43,80.18,100.0,38.33,52.0,1.0,False,53.01,1.0,False
187,2023,3538303,35,Municipal,B,66.08,726.11,71.82,5.29,False,91.17,Próximo,Baixa,648.59,-48.42,0,0.711,0.644,0.669,0.836,11.35,99.26,11.15,31.76,514.47,0.42,9.05,3.12,29.54,93.43,100.0,14.16,43.85,1.03,True,57.99,1.01,True
188,2024,3164472,31,Privada,A,52.41,887.76,63.93,5.25,False,79.05,Muito abaixo,Média,808.72,38.59,0,0.607,0.49,0.597,0.766,18.14,98.43,9.12,48.36,327.54,0.44,25.46,8.26,54.89,93.81,99.11,21.36,60.57,0.97,False,43.24,1.04,False
189,2023,3204203,32,Privada,B,71.49,825.59,64.89,-0.39,False,97.09,Muito abaixo,Alta,885.38,97.46,0,0.727,0.643,0.702,0.852,7.61,98.41,9.04,24.93,629.9,0.49,10.36,3.49,28.05,98.99,99.64,22.37,30.5,1.01,True,49.38,1.03,True
190,2023,2201929,22,Municipal,B,71.12,762.26,80.54,-0.87,False,71.35,Acima,Baixa,534.99,-69.88,1,0.542,0.415,0.542,0.707,33.23,97.54,8.95,52.67,233.05,0.45,40.59,22.6,63.68,17.79,60.29,28.05,34.77,0.96,True,52.04,1.02,True
191,2025,2927309,29,Privada,B,78.61,685.36,70.18,-5.2,True,98.08,Acima,Alta,844.26,-82.32,0,0.617,0.561,0.575,0.729,12.04,97.84,8.79,27.51,286.45,0.54,41.93,21.21,67.3,95.67,99.13,31.35,62.91,0.99,False,58.75,0.95,False
192,2024,4113429,41,Municipal,B,75.64,869.1,88.65,2.9,True,95.12,Próximo,Baixa,638.45,34.84,0,0.68,0.598,0.657,0.802,17.81,99.3,9.83,33.9,477.52,0.4,10.61,0.77,33.38,94.34,100.0,11.84,38.07,1.05,False,55.88,0.98,False
193,2024,4306502,43,Estadual,A,75.88,670.53,67.31,-4.21,False,73.53,Muito acima,Baixa,597.48,-32.05,1,0.587,0.39,0.633,0.818,12.21,94.05,9.47,58.07,409.72,0.48,22.12,9.99,46.98,76.21,99.02,22.05,37.27,1.0,False,58.76,0.99,False
194,2024,2209807,22,Estadual,B,57.39,697.6,62.97,-4.84,True,71.79,Muito abaixo,Alta,810.01,-85.75,0,0.616,0.588,0.538,0.739,27.6,97.69,9.76,35.39,227.37,0.55,51.3,32.24,69.1,96.86,99.43,27.56,47.41,1.04,False,52.04,1.02,False
195,2025,3518404,35,Privada,A,83.31,872.72,82.61,1.72,True,95.04,Muito abaixo,Baixa,909.41,-4.94,1,0.798,0.751,0.764,0.886,2.91,97.82,11.02,13.51,926.78,0.54,5.95,1.52,18.96,99.09,99.85,25.48,34.89,0.96,False,42.41,1.01,False
196,2023,5106174,51,Privada,B,70.2,758.86,86.43,-1.8,False,74.67,Próximo,Alta,632.76,50.75,0,0.595,0.427,0.621,0.793,23.47,66.29,5.81,42.93,381.54,0.55,39.06,16.24,53.9,95.0,62.93,47.81,51.0,0.96,True,53.91,0.97,True
197,2024,5007950,50,Municipal,B,63.73,822.7,68.34,-5.62,False,86.05,Acima,Alta,755.98,-42.98,1,0.593,0.434,0.615,0.782,19.45,94.97,8.41,55.01,367.68,0.6,34.36,23.07,57.54,81.99,81.35,44.45,38.28,1.0,False,48.77,0.96,False
198,2023,2705507,27,Municipal,B,74.43,777.22,66.06,6.32,True,97.47,Acima,Baixa,630.43,-32.99,0,0.527,0.395,0.542,0.685,30.65,93.73,8.16,53.04,233.16,0.48,42.57,18.59,73.07,76.92,93.0,46.53,60.83,1.03,True,52.57,1.01,True
199,2024,3145851,31,Municipal,B,59.84,796.03,65.57,7.21,True,87.02,Acima,Baixa,749.43,69.14,1,0.637,0.5,0.627,0.824,15.82,98.63,8.36,40.34,395.74,0.39,14.94,2.94,42.63,95.17,99.84,21.21,59.01,1.03,False,43.24,1.04,False
200,2025,2707909,27,Municipal,B,68.2,689.81,75.66,-6.65,False,81.92,Próximo,Alta,779.84,4.01,0,0.597,0.477,0.58,0.77,23.13,97.45,10.08,45.7,295.95,0.48,32.72,13.27,64.28,71.34,98.92,39.11,56.62,0.99,False,59.24,0.97,False
